,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
48,KR_5947985298,2022-06-02 13:12:39.805,3.5,53.398058252427184,True,2,2.9,3.34,3.5,3.5,3.5,3.5,2.0,3.0,16.4,18.0,53.9210365657734,55.562400551082554,51.11111111111111,53.398058252427184,65.71428571428571,76.92307692307693,46.15384615384615,37.5
49,KR_5947892342,2022-06-02 12:34:19.111,3.5,53.398058252427184,True,1,3.0200000000000005,2.3125,2.8000000000000003,2.2249999999999996,3.5,2.8000000000000003,2.8,2.0,16.2,14.75,53.09752268887345,55.08596323749626,50.9765625,56.8733153638814,63.1578947368421,59.72222222222222,48.148148148148145,46.875
50,KR_5947838526,2022-06-02 12:03:05.607,3.5,53.398058252427184,False,1,3.25,3.0200000000000005,3.5,3.2,4.0,3.6,2.0,2.0,12.25,14.2,59.73002969362193,57.22584541062802,61.3144137415982,50.0,69.44444444444444,80.43478260869566,46.846846846846844,44.44444444444444
51,KR_5947865137,2022-06-02 11:33:32.573,3.5,53.398058252427184,False,2,2.56,2.66,2.8,2.8,3.2,3.5,2.0,2.0,12.0,11.0,52.063340731772925,56.777566689030415,50.847457627118644,54.81927710843374,58.333333333333336,66.66666666666666,48.4375,53.398058252427184
52,KR_5947871811,2022-06-02 11:03:44.827,3.5,53.398058252427184,True,1,3.0800000000000005,3.1799999999999997,2.8000000000000003,3.2,3.5,3.5,2.8,2.8,12.6,11.2,56.700734739919724,53.4478222211964,53.398058252427184,52.22929936305732,83.87096774193549,64.0,38.46153846153847,47.98206278026906
53,KR_5947697742,2022-06-02 10:12:29.306,3.5,53.398058252427184,True,2,2.56,3.5,2.8,3.5,3.2,3.5,2.0,3.5,13.6,15.0,56.91880864693469,58.2275633435946,55.769230769230774,59.26829268292683,63.63636363636363,60.97560975609756,52.63157894736842,53.398058252427184
54,KR_5947464383,2022-06-01 21:47:33.258,3.5,53.398058252427184,False,2,3.16,2.43,3.0,2.0,4.0,3.5,2.8000000000000003,1.4,12.2,11.2,63.44785606550313,58.12431615298043,58.82352941176471,55.932203389830505,79.48717948717949,86.66666666666667,50.0,30.76923076923077
55,KR_5947443281,2022-06-01 21:09:31.196,3.5,53.398058252427184,True,2,2.56,2.3,2.8,2.0,3.2,3.5,2.0,2.0,13.4,15.2,48.951322497750716,56.02972731605505,50.80213903743316,55.42168674698795,58.536585365853654,64.0,35.714285714285715,50.91863517060368
56,KR_5947411845,2022-06-01 20:26:59.315,3.5,53.398058252427184,True,2,2.4099999999999997,3.22,2.4499999999999997,3.5,2.8,3.5,2.0,2.8,15.4,15.6,50.88159375419482,51.591194585094684,51.0,51.515151515151516,51.971326164874554,60.9375,50.0,42.10526315789473
57,KR_5947410004,2022-06-01 19:53:05.872,3.5,53.398058252427184,True,1,2.3,2.64,2.0,2.8,3.5,2.8000000000000003,2.0,2.0,15.4,13.2,53.306984955092915,51.18396773162545,53.398058252427184,51.973684210526315,58.9041095890411,62.16216216216216,49.727767695099814,40.0
58,KR_5947348021,2022-06-01 19:21:48.174,3.5,53.398058252427184,True,1,2.62,2.4,2.8,2.0,3.5,3.2,2.0,2.0,12.6,12.4,48.38737042734898,50.45511723112216,46.308724832214764,51.170212765957444,53.398058252427184,52.85714285714286,44.81481481481481,46.464646464646464
59,KR_5947383625,2022-06-01 18:39:17.223,3.5,53.398058252427184,False,1,2.3,2.9,2.0,3.5,3.5,3.5,2.0,2.0,16.8,16.8,51.78987465660778,49.440662637041044,50.29940119760479,47.76119402985074,60.97560975609756,58.82352941176471,46.715328467153284,43.07692307692308
